51076.2;0.0357;BID
51077.9;0;ASK
51080.3;1.95770282;ASK
51077.7;1.95780358;ASK
51074.3;1.95792925;BID
51074.3;0;BID
51063.5;1;BID
51075.5;1.95788576;BID
51071.9;0.14902044;BID
51075.5;0;BID
51063.5;1;BID
51075.7;1.9578748;BID
51073;1.95797859;BID
51076.2;0.0857;BID
51075.7;0;BID
51065.4;0.25;BID
51075.9;1.95786982;BID
51068.7;0.7056;BID
51076.3;2.55024754;ASK
51068.7;0;BID
51065.7;0.03065202;BID
51068.2;0.7056;BID
51068.2;0;BID
51065.7;0.03065202;BID
51075.9;0;BID
51065.4;0.25;BID
51076;1.95786496;BID
51076.3;2.08154754;ASK
51076.3;2.55024754;ASK
51076.3;2.08154754;ASK
51076;0;BID
51065.4;0.25;BID
51076.1;1.95836049;BID
51077.7;0;ASK
51080.3;1.95770282;ASK
51076.3;1.88707705;ASK
51076.2;0.35808505;BID
51076.3;2.08154754;ASK
51076.2;0.0857;BID
51069.4;0;BID
51063.6;0.44977452;BID
51076.2;2.04355904;BID
51076.3;1.88707705;ASK
51068.7;0.7056;BID
51065.8;0.09399637;BID
51076.1;0.0005;BID
51068.8;0.7056;BID
51076.2;4.00141808;BID
51068.7;0;BID
51065.7;0.03065202;BID
51076.2;2.04355904;BID
51075;0;BID
51065.4;0.25;BID
51070.9;1.95806183;BID
51073;0;BID
51065.4;0.25;BID
51076.2;4.00141808;BID
51076.2;4.00241808;BID
51068.8;0;BID
51063.6;0.44977452;BID
51065.8;0;BID
51063.5;1;BID
51076.2;2.04455904;BID
51075.9;1.95786946;BID
51074;1.95794139;BID
51075.9;0;BID
51063.6;0.44977452;BID
51076.2;4.00241808;BID
51078.8;0;ASK
51081.2;0.01400115;ASK
51081;1.95767784;ASK
51081;0;ASK
51081.2;0.01400115;ASK
51078.1;0;ASK
51081.9;0.7814212;ASK
51079.8;1.95772127;ASK
51077.8;0;ASK
51081.9;0.7814212;ASK
51068.7;0.7056;BID
51079.8;0;ASK
51082.1;0.58736806;ASK
51079.7;1.95772636;ASK
51081.9;0.58731402;ASK
51076.2;4.00841808;BID
51074;0;BID
51063.6;0.44977452;BID
51075.1;1.9578998;BID
51079.7;0;ASK
51082;0.19410718;ASK
51080.3;0;ASK
51082.1;0.58736806;ASK
51080.2;1.95770828;ASK
51081.1;1.95767132;ASK
51080;0.59398394;ASK
51068.7;0;BID
